Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID
64,"시방 뭐라 그렸시유?",솔이,dysphoria,dysphoria,15,1
65,"딱 가로막고 섰으니 내릴수가 없잖아요. 급해 죽겠는데,",남자1,dysphoria,dysphoria,15,2
66,"아자씨, 그렇게 급허면 어제 오지 그렸시유?",솔이,dysphoria,dysphoria,15,3
67,"받아 달라고 쌩난린데 받아주지 그러냐?",과자,dysphoria,dysphoria,16,0
68,"안받아도 돼요.",우미,dysphoria,dysphoria,16,1
69,"안받아도 되면 핸드폰은 뭐드러 갖고 댕겨?",과자,dysphoria,dysphoria,16,2
70,"솔직히 어머니땜에 갖고 댕기죠. 그래야 아무때나 전화받고 안답답하시잖아요.",우미,dysphoria,dysphoria,16,3
71,"말은 좋다.",과자,dysphoria,dysphoria,16,4
72,"더이상 못해줘. 밑빠진 독이잖아.",현찰,dysphoria,dysphoria,17,0
73,"결혼해서 지금까지 나도 할만큼 했어. 다신 처갓집 얘기 내앞에서 꺼내지도 마.",현찰,dysphoria,dysphoria,17,1
74,"사장님 성함이 참 좋으시네요. 현찰. 이러니 현찰이 안들오고 배깁니까?",부동산,euphoria,euphoria,18,0
75,"예.",현찰,euphoria,euphoria,18,1
76,"진짜 싸게 사신겁니다. 웬만하면 안넘길려고 했는데 사정이 있어서...어쨌든 돈 많이 버십시오.",사장,euphoria,euphoria,18,2
77,"고맙습니다.",현찰,euphoria,euphoria,18,3
78,"그럼 나머지 잔금은 이달말까지 주시는 걸로 하고.",부동산,euphoria,euphoria,18,4
79,"날짜 챙겨서 보내드리겠습니다.",연희,euphoria,euphoria,18,5
80,"그돈 다 벌어서 뭐하세요? 온동네 현찰 다 긁어담으시네.",부동산,euphoria,euphoria,18,6
81,"일찍 온다? 친구들하고 파티 안해?",현찰,euphoria,euphoria,19,0
82,"여자들 일중대가 쫘악 줄섰는데, 거절하느라 바빴어.",이상,euphoria,euphoria,19,1
83,"으이구. 하긴 우리집 남자들이 멋은 있지.",현찰,euphoria,euphoria,19,2
84,"그중에 내가 일번.",이상,euphoria,euphoria,19,3
85,"오만방자. 아부지 좋아하시드라. 그래도 우리중에 니가 젤 효자다.",현찰,euphoria,euphoria,19,4
86,"형만한 아우 없다고 우리집 최고 효자는 작은형이지. 큰형이야 앞으로 효자노릇 할거고.",이상,euphoria,euphoria,19,5
87,"들어가자.",현찰,euphoria,euphoria,19,6
88,"엄마.",이상,neutral,neutral,20,0
89,"다녀 왔습니다. 어머니, 회떠왔어요.",현찰,euphoria,euphoria,20,1
90,"잘했다. 간만에 목구멍 기름칠좀 해보자.",과자,euphoria,euphoria,20,2
91,"옷갈아 입고 올게요.",현찰,euphoria,euphoria,20,3
92,"우리 이쁜 전여사, 나 안보고 싶었쪄?",이상,euphoria,euphoria,20,4
93,"우리 장한 막내. 장혀 장혀.",과자,euphoria,euphoria,20,5
94,"아부지,",이상,euphoria,euphoria,20,6
95,"당신이 왜 받아요? 받을려면 내가 받아야지.",과자,dysphoria,dysphoria,20,7
96,"당신이 뭐한게 있다고 받어?",순경,dysphoria,dysphoria,20,8
97,"울엄마 하여간.",이상,euphoria,euphoria,20,9
98,"나도 좀 봅시다.",과자,neutral,neutral,20,10
99,"휴가는 얼마나 되냐?",순경,euphoria,euphoria,20,11
100,"휴가 반납하고 지구대 근무 신청했어요.",이상,euphoria,euphoria,20,12
101,"지구대를? 왜?",순경,neutral,neutral,20,13
102,"경찰과 서민이 가장 가깝게 만나는 곳이 지구대잖아요.",이상,euphoria,euphoria,20,14
103,"하긴 지구대 일이 기본이지. 경찰이라면 경험해봐야지.",순경,euphoria,euphoria,20,15
104,"휴가 맡았으면 쉴것이지 뭐한다고. 지구대는 느이 아부지한테 맡기고 너는 지구나 지켜.",과자,dysphoria,dysphoria,20,16
105,"세놈들 다 경찰 됐으면 얼마나 좋아?",순경,dysphoria,dysphoria,20,17
106,"또 그놈의 경찰타령. 아들 하나면 됐지 세놈다 경찰 만들어 뭐하게요? 다들 제 밥벌이하고 잘들 사는데.",과자,dysphoria,dysphoria,20,18
107,"누가 밥벌이 못해서 그래? 남자로 한번 태어났으면 나라와 민족을 위해 일하는게 얼마나 가치있는 일인데.",순경,dysphoria,dysphoria,20,19
108,"남은 속터져 죽겠구만. 이 똑똑한 애를 겨우 경찰 시킨걸 생각하면 잠이 안와요 잠이.",과자,dysphoria,dysphoria,20,20
109,"겨우 경찰이라니?",순경,dysphoria,dysphoria,20,21
110,"판검사를 시켜도 시원찮을 애를 당신땜에 경찰 맹글었잖아요.",과자,dysphoria,dysphoria,20,22
111,"그때 무슨수를 써서라도 법대 보냈어야 했는데...그랬으면 지금쯤 검사되고도 남았잖아. 아유, 억울해.",과자,dysphoria,dysphoria,20,23
112,"엄마, 내가 하고 싶어서 한거야. 내꿈이 경찰인데, 그까짓 검사 하나도 안부러워.",이상,euphoria,euphoria,20,24
113,"검사가 경찰보다 높고 좋은거라매?",과자,dysphoria,dysphoria,20,25
114,"그런게 어딨어? 다 제할일 따로 있는거지.",순경,dysphoria,dysphoria,20,26
115,"그래도 범인은 내가 잡아. 아유, 엄마친구아들 검사돼서 열받았쪄?",이상,euphoria,euphoria,20,27
116,"얼른 옷이나 갈아입어. 밥먹게.",과자,dysphoria,dysphoria,20,28
117,"예.",이상,neutral,neutral,20,29
118,"저녁 먹어.",우미,neutral,neutral,21,0
119,"노크좀 해.",현찰,dysphoria,dysphoria,21,1
120,"집에서 누가 본다고.",우미,dysphoria,dysphoria,21,2
121,"그래도. 집에 돈 있는줄 알면 누가 노려도 노리지.",현찰,dysphoria,dysphoria,21,3
122,"혼수아빠, 만약에...",우미,neutral,neutral,21,4
123,"만약에 뭐? 돈 얘기면 아예 꺼내지도 마.",현찰,dysphoria,dysphoria,21,5
124,"아니야. 밥 차릴게 나와.",우미,dysphoria,dysphoria,21,6
125,"그렇게 좋은거 다 걷어먹이는데 얼굴은 누굴닮아 이 모양이야?",순경,dysphoria,dysphoria,22,0
126,"물어볼거 뭐 있어요? 닮을사람 닮았겠지.",과자,dysphoria,dysphoria,22,1
127,"걔는 뭐하는 애야? 어른이 부르면 제까닥 와야지, 뭘 잘났다고 코빼기 한번 안비쳐?",순경,dysphoria,dysphoria,22,2
128,"나중에 코빼기고 귀때기고 다 보여준대요.",과자,dysphoria,dysphoria,22,3
129,"부모가 반대하는 결혼을 했으면 노력이라도 해야지, 이게 다 니가 못나서 그래.",순경,dysphoria,dysphoria,22,4
130,"못난건 아니죠. 나가면 다들 잘났다고 난리들인데.",과자,dysphoria,dysphoria,22,5
131,"당신이 얘 변호사야?",순경,dysphoria,dysphoria,22,6
132,"다네 달어.",과자,neutral,neutral,22,7
133,"못난놈. 마누라 단속도 못하고. 니가 이날까지 제대로 한게 뭐있냐?",순경,dysphoria,dysphoria,22,8
134,"장남이라고 온갖 공들여서 키워놨더니 장남노릇을 제대로 해, 형노릇을 제대로 해?",순경,dysphoria,dysphoria,22,9
135,"앞으로 하겠죠. 인생 다산것도 아닌데 벌써 계산해요?",과자,dysphoria,dysphoria,22,10
136,"긴말필요없이 낼 당장 같이 와. 안그러면 아예 호적을 파버리고 부모자식 인연끊든가.",순경,dysphoria,dysphoria,22,11
137,"오늘같은날 같이 오면 좀 좋아? 아부지가 말은 저렇게 하셔도 이번에 다 용서하고 받아주신다고 했어.",과자,dysphoria,dysphoria,22,12
138,"아부지가?",건강,neutral,neutral,22,13
139,"그래. 니들 결혼하고 몇년째 왕래도 안하고, 오늘같이 기분좋은날 며느리로 인정하고 받아들일려고 했는데...",과자,dysphoria,dysphoria,22,14
140,"미안해 엄마. 내가 못나서 그렇지뭐.",건강,dysphoria,dysphoria,22,15
141,"아버님이 형님네 받아들이실려나봐. 당신이 딱 못박아서 얘기하면 일이 금방 진행되지 않을까?",우미,neutral,neutral,23,0
142,"담에 해.",현찰,neutral,neutral,23,1
143,"얼굴 본김에 해. 또 언제 본다고. 한번 얘기나 해봐. 응?",우미,neutral,neutral,23,2
144,"뭐해?",현찰,neutral,neutral,24,0
145,"그냥.",건강,neutral,neutral,24,1
146,"형, 전에 우리 말했던거.",현찰,neutral,neutral,24,2
147,"나중에 하자.",건강,dysphoria,dysphoria,24,3
148,"나중에 언제? 어머니 아부지도 형수에 대해서 다 풀리신거 같고, 그래서 말인데, 이번에 형네가 들와 살면 어때?",현찰,dysphoria,dysphoria,24,4
149,"지금 내 상황이 좀 그렇다.",건강,dysphoria,dysphoria,24,5
150,"형, 나 십년이나 모시고 살았어. 십년이나 모셨으면 이젠 형이 해야되는거 아냐?",현찰,dysphoria,dysphoria,24,6
151,"제수씨한텐 정말 면목없는데, 쫌만 더 봐주라.",건강,dysphoria,dysphoria,24,7
152,"쫌만 쫌만 한게 십년째야. 나한테 다 떠넘기고 형맘대로 살고 싶은거 아니냐고.",현찰,dysphoria,dysphoria,24,8
153,"무슨말이 그래? 떠넘기다니?",건강,dysphoria,dysphoria,24,9
154,"누가 뭐래도 우리집 장남은 형이야.",현찰,dysphoria,dysphoria,24,10
155,"장남 장남, 그놈의 장남 소리. 장남이라고 내가 혜택 받은거라도 있냐?",건강,dysphoria,dysphoria,24,11
156,"그렇게 생각해?",현찰,dysphoria,dysphoria,24,12
157,"말해봐. 내가 무슨 혜택을 얼마나 받았는데?",건강,dysphoria,dysphoria,24,13
158,"형이 이렇게 나오면 섭하지. 기억안나? 형 등록금내느라 난 대학도 포기했어. 그래놓고 무슨 혜택을 받았냐고?",현찰,dysphoria,dysphoria,24,14
159,"그만하자.",건강,dysphoria,dysphoria,24,15
160,"오늘도 닭다리는 형 차지였어.",현찰,dysphoria,dysphoria,24,16
161,"너 진짜? 치사하게 이렇게까지 나올래? 그게 그렇게 분하냐?",건강,dysphoria,dysphoria,24,17
162,"누가 지금 꼴란 닭다리 땜에 그래? 사람 말귀 제대로 알아들어.",현찰,dysphoria,dysphoria,24,18
163,"저놈들이 왜 저런대.",과자,dysphoria,dysphoria,25,0
164,"너 나한테 감정 많구나. 이제 아주 막가자 이거냐?",건강,dysphoria,dysphoria,26,0
165,"할말 한거 뿐이야. 앞으로 형이 부모님 모시고 살아. 우린 분가할거야.",현찰,dysphoria,dysphoria,26,1
166,"그런말을 꼭 지금 해야겠냐?",건강,dysphoria,dysphoria,26,2
167,"내가 형을 언제 봐? 본김에 해야지.",현찰,dysphoria,dysphoria,26,3
168,"왜들 그런다니 응? 저녁 잘들먹고 먼일들이야?",과자,dysphoria,dysphoria,26,4
169,"엄마, 나 갈게.",건강,dysphoria,dysphoria,26,5
170,"건강아. 뭣땜에 그래? 못났건 잘났건 형은 형이야. 동생이 그러면 못써.",과자,dysphoria,dysphoria,26,6
171,"어머니 눈엔 형밖에 안보이죠? 제생각 한번 해준적 있으세요?",현찰,dysphoria,dysphoria,26,7
172,"당신은 빠져. 내가 알아서 할게. 형님이라도 만나서 담판짓든가.",우미,dysphoria,dysphoria,27,0
173,"대화도 안되는사람 뭐하러 만나? 우리집 싫다고 왕래도 끊은 사람을.",현찰,dysphoria,dysphoria,27,1
174,"이경장님 지금 연락됩니까?",이상,neutral,neutral,28,0
175,"관내 업소 단속나갔으니까 바로 될겁니다.",경사,neutral,neutral,28,1
176,"연결해주십시요.",이상,neutral,neutral,28,2
177,"예.",경사,neutral,neutral,28,3
178,"안됩니까? 몇번입니까?",이상,dysphoria,dysphoria,28,4
179,"현장상황이 바쁘면 가끔 연락이 안되기도 하는데, 나중에 제가 해보겠습니다.",경사,neutral,neutral,28,5
180,"현장근무 나가서 무전연락이 안된다는게 말이 됩니까?",이상,dysphoria,dysphoria,28,6
181,"예. 00 지구댑니다. 예. 예. 알겠습니다.",경사,neutral,neutral,28,7
182,"뭡니까?",이상,dysphoria,dysphoria,28,8
183,"인근 식당에서 싸움이 났다고 신고가 들왔습니다.",경사,dysphoria,dysphoria,28,9
184,"어딥니까? 제가 가볼테니 자리 지키십시오.",이상,dysphoria,dysphoria,28,10
185,"이, 이거 못놔?",재수,dysphoria,dysphoria,29,0
186,"못놓겠습니다. 여자가 마지막으로 분에 못이겨서 저러는데 남자답게 한대만 맞고 가십시오.",이상,dysphoria,dysphoria,29,1
187,"너같으면 맞겠냐?",재수,dysphoria,dysphoria,29,2
188,"저같으면 맞습니다. 한대가 아니라 열대 백대라도 맞습니다.",이상,dysphoria,dysphoria,29,3
189,"니가 쟬 몰라서 그래.",재수,dysphoria,dysphoria,29,4
190,"반말하지 마십시오.",이상,dysphoria,dysphoria,29,5
191,"어차피 반말하게 돼있어. 너 어디 소속이야? 옷벗고 싶지 않으면 이거놔.",재수,dysphoria,dysphoria,29,6
192,"못놓겠다.",이상,dysphoria,dysphoria,29,7
193,"못놓겠다? 말이 짧다?",재수,dysphoria,dysphoria,29,8
194,"나 000 경찰서 강력일팀장 김이상 경감이다. 분하면 진단서 끊어서 찾아와.",이상,dysphoria,dysphoria,29,9
195,"남들은 고시패스하면 편한길부터 갈려고 하는데, 나중에라도 후회하지 않겠냐?",순경,dysphoria,dysphoria,30,0
196,"제가 사시 본건 경찰일을 더 잘하기 위해서지, 다른뜻 없습니다.",이상,neutral,neutral,30,1
197,"솔직히 합격하고 잠시 갈등한건 사실이지만, 대신 엄마한텐 비밀입니다.",이상,neutral,neutral,30,2
198,"니엄마 알면 날 아주 잡아먹을라고 할거다. 너 꼬셔서 검사 못하게 했다고.",순경,dysphoria,dysphoria,30,3
199,"정말 자랑스럽다. 내아들이라도 자랑스러워.",순경,euphoria,euphoria,30,4
200,"누구 아들인데요. 아부지, 고맙습니다.",이상,euphoria,euphoria,30,5
201,"말안해도 잘하겠지만, 마음가짐 몸가짐 단단히 해라.",순경,euphoria,euphoria,30,6
202,"너네 경찰대학출신 덕에 경찰의 위상이 많이 높아진건 사실이다만 현장 밑바닥에서부터 고생한 경찰들의 노고를 잊으면 안돼.",순경,euphoria,euphoria,30,7
203,"명심하겠습니다.",이상,euphoria,euphoria,30,8
204,"다 그런건 아니지만 가끔 현장경험도 없이 책상머리에 앉아서 뭣도 모르는 소리하는 간부들도 있는건 사실이다.",순경,dysphoria,dysphoria,30,9
205,"명심! 마지막까지 경찰 자존심을 버리지마라. 계속 할까요 아부지?",이상,euphoria,euphoria,30,10
206,"됐다 이놈아.",순경,euphoria,euphoria,30,11
207,"그때 그 일은 다 잊으셨죠?",이상,neutral,neutral,30,12
208,"괜찮다가도 한번씩 생각하면 울컥해. 그놈땜에 감옥까지 갔는데. 그때 그일로 진급에서도 밀리고 동료들한테 의심도 받고.",순경,dysphoria,dysphoria,30,13
209,"더 기가 막힌건, 그뒤로 그놈 손 싹씻은거야. 더 어째볼수도 없게 됐지.",순경,dysphoria,dysphoria,30,14
210,"딸이 둘인가 있었는데...찾을려고 맘먹으면 경찰이 왜 못찾겠냐만은...",순경,dysphoria,dysphoria,30,15
211,"그냥 용서하세요. 그래야 아부지가 편해요.",이상,dysphoria,dysphoria,30,16
212,"법은 법이고, 지금이라도 우연히 만나면 인간대 인간으로 가만두지 않을거다.",순경,dysphoria,dysphoria,30,17
213,"그게 뭐니?",어영,neutral,neutral,31,0
214,"재수탱이옷. 태워 버리라매? 너, 낼 날새자마자 당장 태워버려. 알았지?",부영,dysphoria,dysphoria,31,1
215,"딴건 게을러 터진게 이런건 재빠르니?",어영,dysphoria,dysphoria,31,2
216,"어딜 감히! 주제를 알아야지.",재수,dysphoria,dysphoria,32,0
217,"받어봐. 장모님 같은데?",현찰,neutral,neutral,33,0
218,"엄마가? 엄마가 웬일이래?",우미,neutral,neutral,33,1
219,"내가 알어? 또 사고치신거 아냐?",현찰,dysphoria,dysphoria,33,2
220,"엄마가 사고치는 사람인가?",우미,dysphoria,dysphoria,33,3
221,"이 시간에 전화온거 보면 뻔하지. 더 이상은 안돼?",현찰,dysphoria,dysphoria,33,4
222,"알어. 더 이상은 안되는거. 얼른 씻어. 밥 다됐어.",우미,dysphoria,dysphoria,33,5
223,"한사람 빠졌다.",순경,neutral,neutral,34,0
224,"엄마.",이상,neutral,neutral,34,1
225,"경찰조직도 하부조직이 튼튼해야 기강이 바로 서. 우리집도 마찬가지, 하부조직이 튼튼해야돼. 그럴려면 중간허리가 잘해줘야 되는데, 허리가 왜 그모양이야?",순경,dysphoria,dysphoria,35,0
226,"아파서 그러잖아요. 허리만 아픈가? 사방팔방 다 아프지.",과자,dysphoria,dysphoria,35,1
227,"파스도 아껴써. 파스값만해도 한달에 얼만줄 알아? 지난달 전깃세는 왜 이렇게 많이 나왔어?",순경,dysphoria,dysphoria,35,2
228,"당신이 진급시험 공부한다고 밤새 썼잖아요. 나같으면 그렇게 공부했으면 경찰청장도 됐겠네.",과자,dysphoria,dysphoria,35,3
229,"뭐?",순경,dysphoria,dysphoria,35,4
230,"아니요. 오늘도 날씨 청청하니 죽인다구요.",과자,dysphoria,dysphoria,35,5
231,"당신말야, 지난주 목요일 공구시부터 십삼시 삼십분까지 행방이 묘연해. 어디서 누구랑 무슨 범죄를 도모했는지 불어.",순경,dysphoria,dysphoria,35,6
232,"지난주 목요일 일이 생각나면 이러구 안사네요. 변호사 대주던가 묵비권할래요.",과자,dysphoria,dysphoria,35,7
233,"뭐야?",순경,dysphoria,dysphoria,35,8
234,"어머니 그날 찜질방 가셨어요.",우미,neutral,neutral,35,9
235,"응, 맞다. 찜질방.",과자,neutral,neutral,35,10
236,"알리바이 확실해?",순경,dysphoria,dysphoria,35,11
237,"확실해요. 저위에 쌀집여편네하고 갔으니까 탐문수사해보면 될거 아네요.",과자,neutral,neutral,35,12
238,"울엄마 파이팅.",이상,euphoria,euphoria,35,13
239,"그날 한 얘기도 해봐요? 나이드니까 세가지가 느는데, 살하고 주름살하고 때만 는다, 그러니 늙으면 죽어야된다, 대질심문할테면 해봐요.",과자,dysphoria,dysphoria,35,14
240,"서장님한테 말씀드려서 어머니 표창장 드리게 해라.",현찰,euphoria,euphoria,35,15
241,"진짜 그래야겠네.",이상,euphoria,euphoria,35,16
242,"그다음, 혼수에미.",순경,neutral,neutral,35,17
243,"예.",우미,neutral,neutral,35,18
244,"지난달 가계부에 만팔백원이 비는데 어떻게 된거냐?",순경,dysphoria,dysphoria,35,19
245,"시장갔다와서 바로 쓴다는게 깜빡 까먹었어요. 뭔가 쓰긴 했는데...",우미,dysphoria,dysphoria,35,20
246,"그러니까 바로바로 써야지.",순경,dysphoria,dysphoria,35,21
247,"조심하겠습니다.",우미,dysphoria,dysphoria,35,22
248,"둘째 너, 아침 운동한다며 왜 안하냐?",순경,dysphoria,dysphoria,35,23
249,"요즘 신경쓸일이 많아서요. 이일만 해결되면 바로 합류하겠습니다.",현찰,neutral,neutral,35,24
250,"돈도 중요하지만 건강이 더 중요해. 건강 잃으면 다 잃는거다.",순경,neutral,neutral,35,25
251,"예.",현찰,neutral,neutral,35,26
252,"건강이 그렇게 중요하면 건강이 좀 생각하든가요.",과자,dysphoria,dysphoria,35,27
253,"건강이 이거 저녁에 오라고 했지?",순경,dysphoria,dysphoria,35,28
254,"했어요.",과자,neutral,neutral,35,29
255,"건의할 사항있나?",순경,neutral,neutral,35,30
256,"저요. 이놈의 조회좀 그만합시다. 시집와서 이날까지 지겨워죽겠어요. 한얘기 또하고 한얘기 또하고.",과자,dysphoria,dysphoria,35,31
257,"시끄러. 묻지도 따지지도 말어.",순경,dysphoria,dysphoria,35,32
258,"근데 그 묻지도 따지지도 말라는거요, 나중에 돈 내줄때도 묻지도 따지지도 않고 덥석 내준대요?",과자,dysphoria,dysphoria,35,33
259,"거기 가서 물어봐. 오늘은 중대 발표가 있다. 혼수네, 분가해라.",순경,neutral,neutral,35,34
260,"그동안 고생 많았다. 장남도 아니면서 부모 모시고 살기 쉽냐? 이번에 큰애네 들오게 할 생각이다. 그렇게들 알어.",순경,neutral,neutral,35,35
261,"당신이 졸랐어?",현찰,dysphoria,dysphoria,36,0
262,"조른다고 들어주실 분이야? 입도 뻥끗 안했어.",우미,dysphoria,dysphoria,36,1
263,"근데 왜 저러시지?",현찰,neutral,neutral,36,2
264,"이심전심 내맘하고 통했나보지뭐. 봐, 아버님도 내맘 알아주시잖아. 허락 떨어졌으니까 무조건 분가다?",우미,euphoria,euphoria,36,3
265,"지가 어디가서 우리 현찰이같은 남편을 만나?",과자,dysphoria,dysphoria,37,0
266,"일단 그렇게 알고 큰애네 오라고 해. 오늘도 안오면 당신도 쫓겨날줄 알어.",순경,dysphoria,dysphoria,38,0
267,"수고 많으십니다. 오늘 근무 아닌 분들도 나오신겁니까?",이상,neutral,neutral,39,0
268,"교육좀 시킬려고 다 나오라고 했습니다.",대장,neutral,neutral,39,1
269,"근무지에서 제대로 활동하는지 체크가 되지 않고 있습니다. 무전 연락은 돼야되는거 아닙니까?",이상,dysphoria,dysphoria,39,2
270,"앞으로 그런일 없도록 시정하겠습니다.",대장,dysphoria,dysphoria,39,3
271,"근무지 이탈자 생기지 않도록 각별히 주의 당부 드립니다.",이상,dysphoria,dysphoria,39,4
272,"알겠습니다.",대장,neutral,neutral,39,5
273,"저땜에 장사도 못하시고...이거 얼마 안되지만...",어영,dysphoria,dysphoria,40,0
274,"손해가 이만저만이 아니야. 고소할려다 말았어.",주인,dysphoria,dysphoria,40,1
275,"정말 죄송했어요. 이거.",어영,dysphoria,dysphoria,40,2
276,"그런놈한테 복수하는게 뭔지 알아? 그놈보다 백배 천배 존놈 만나서 그놈 다니는 길목에 알짱대면서 연애질 하는거야. 알어?",주인,dysphoria,dysphoria,40,3
277,"안그래도 그럴려구요.",어영,dysphoria,dysphoria,40,4
278,"왁!",솔이,euphoria,euphoria,41,0
279,"엄마!",우미,euphoria,euphoria,41,1
280,"사람보고 뭘 놀래야?",솔이,euphoria,euphoria,41,2
281,"어떻게 여기까지 와?",우미,euphoria,euphoria,41,3
